,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
108,5,1948,1950,789,789,789,1,5,1,250,115000
110,6,1977,1977,1844,1844,1844,2,7,2,546,190000
111,6,1954,1972,994,1216,1855,2,7,1,325,136900
112,7,2000,2000,384,774,1430,2,7,2,400,180000
113,7,2007,2007,1264,1282,2696,2,10,3,792,383970
114,6,1953,1953,1809,2259,2259,2,7,2,450,217000
115,6,1945,2002,1028,1436,2320,2,9,1,180,259500
116,6,1999,1999,729,729,1458,2,5,2,440,176000
117,5,1962,1962,1092,1092,1092,1,6,1,288,139000
118,5,2006,2007,1125,1125,1125,1,5,2,430,155000
119,7,1990,1990,1673,1699,3222,3,11,3,594,320000
120,6,2005,2006,728,728,1456,2,8,2,390,163990
121,6,1969,1969,938,988,988,1,4,2,540,180000
122,4,1939,1950,732,772,1123,1,4,1,264,100000
123,6,1958,1958,1080,1080,1080,1,5,1,288,136000
124,6,1993,1993,1199,1199,1199,2,5,2,530,153900
125,6,1979,1998,1362,1586,1586,2,7,2,435,181000
127,6,1976,1976,1078,958,958,2,5,2,440,128000
129,6,1966,1966,660,660,1348,1,6,2,453,155000
130,5,1958,1991,1008,1053,1053,1,6,2,750,150000
131,7,1966,1966,924,1216,2157,2,8,2,487,226000
132,6,2000,2000,992,1022,2054,2,7,2,390,244000
133,5,1959,2002,1063,1327,1327,1,7,2,624,150750
134,8,2001,2002,1267,1296,1296,2,6,2,471,220000
135,5,1968,1993,1461,1721,1721,2,7,2,440,180000
136,7,1970,1970,1304,1682,1682,2,7,2,530,174000
137,5,1967,1967,1214,1214,1214,2,5,1,318,143000
138,7,1988,1989,1907,1959,1959,3,9,3,766,171000
139,8,1999,2000,1004,1004,1852,2,7,3,660,230000
140,6,1997,1997,928,928,1764,2,7,2,470,231500
142,7,2005,2005,1734,1734,1734,2,7,2,660,260000
143,5,1952,1952,910,910,1385,2,6,2,720,166000
144,7,1999,1999,1490,1501,1501,2,6,2,577,204000
145,5,1963,1963,1728,1728,1728,2,10,2,504,125000
146,6,2004,2006,970,970,1709,2,7,2,380,130000
147,5,1931,1993,715,875,875,1,5,1,180,105000
148,7,2001,2001,884,884,2035,2,8,2,434,222500
150,5,1936,1950,896,896,1344,1,7,1,240,115000
151,5,1975,1975,969,969,969,1,5,2,440,122000
152,8,2007,2008,1710,1710,1710,2,6,3,866,372402
153,6,1971,1971,825,1097,1993,2,8,2,495,190000
154,6,1960,1975,1602,1252,1252,1,4,2,564,235000
155,6,1923,1950,1200,1200,1200,1,7,1,312,125000
158,8,2009,2010,774,774,1968,2,8,3,680,269500
159,7,2004,2005,991,991,1947,2,8,2,678,254900
160,7,2005,2006,1392,1392,2462,2,9,2,576,320000
161,6,1984,1984,1232,1232,1232,2,6,2,516,162500
162,9,2003,2004,1572,1572,2668,2,10,3,726,412500
163,7,2005,2005,1541,1541,1541,2,7,2,532,220000
165,6,1926,2004,1149,1149,1616,2,5,1,216,152000
167,5,1955,1993,1617,1867,1867,1,7,1,303,190000
168,8,2007,2007,1582,1610,2161,1,8,3,789,325624
169,7,2004,2004,840,840,1720,2,7,2,440,183500
170,8,1981,1981,1686,1707,1707,2,6,2,511,228000
171,5,1941,1950,720,854,1382,1,7,2,660,128500
172,6,1960,1960,1080,1656,1656,1,7,2,528,215000
173,7,1987,1987,1064,1064,1767,2,5,2,504,239000
174,6,1961,1961,1362,1362,1362,1,6,2,504,163000
175,6,1986,1986,1606,1651,1651,2,7,2,616,184000
176,6,1950,2001,1202,2158,2158,2,7,2,576,243000
177,6,1988,1989,1151,1164,2060,2,8,2,521,211000
178,5,1958,1958,1052,1252,1920,2,8,2,451,172500
179,9,2008,2009,2216,2234,2234,2,9,3,1166,501837
180,5,1923,2006,968,968,968,1,5,2,480,100000
181,6,2000,2000,756,769,1525,2,5,2,440,177000
182,7,1920,1950,793,901,1802,1,9,1,216,200100
184,7,2003,2003,1362,1362,2082,2,6,2,484,200000
185,5,1908,1991,504,936,1252,1,5,2,576,127000
186,10,1892,1993,1107,1518,3608,2,12,3,840,475000
187,7,1990,1991,1188,1217,1217,2,6,2,497,173000
188,5,1916,1987,660,808,1656,2,8,1,180,135000
189,5,1979,1979,1086,1224,1224,0,6,2,528,153337
190,8,2001,2002,1593,1593,1593,1,5,2,682,286000
191,8,1932,1994,853,1549,2727,2,10,2,440,315000
192,7,1972,2004,725,725,1479,1,7,2,484,184000
193,7,1999,1999,1431,1431,1431,2,6,2,666,192000
194,7,2004,2004,970,970,1709,2,7,2,380,130000
195,5,1972,1972,864,864,864,1,5,1,352,127000
196,6,1976,1976,855,855,1456,2,7,2,440,148500
197,7,2007,2007,1726,1726,1726,2,8,3,786,311872
198,8,1918,1990,1360,1360,3112,2,8,2,795,235000
200,8,2004,2005,1713,1713,1713,2,7,3,856,274900
201,4,2003,2004,1121,1121,1121,2,5,2,440,140000
202,6,1977,1977,1196,1279,1279,2,6,2,473,171500
203,6,1924,1950,617,865,1310,2,6,1,398,112000
204,6,2004,2004,848,848,848,1,3,2,420,149000
205,5,1947,1950,720,720,1284,1,5,1,240,110000
206,7,1990,1990,1424,1442,1442,2,5,2,500,180500
207,5,1962,1962,1140,1696,1696,1,8,1,349,143900
208,4,1960,1960,1100,1100,1100,1,6,1,312,141000
209,7,1988,1989,1157,1180,2062,2,7,2,454,277000
210,6,1964,1964,1092,1092,1092,1,6,2,504,145000
212,6,2009,2009,1212,1212,1212,2,6,2,460,186000
213,7,2009,2009,900,932,1852,2,7,2,644,252678
214,5,1995,1995,990,990,990,1,5,2,576,156000
215,6,1977,1977,689,689,1392,1,6,1,299,161750
216,5,1957,1996,1070,1236,1236,1,6,1,447,134450
217,7,2004,2004,1436,1436,1436,2,8,2,484,210000
218,4,1925,1950,686,810,1328,1,8,1,210,107000
219,7,1939,2006,798,1137,1954,1,8,2,431,311500
220,7,2005,2006,1248,1248,1248,2,5,2,438,167240
221,7,2006,2006,1498,1498,1498,2,5,2,675,204900
222,6,2002,2002,1010,1010,2267,2,8,2,390,200000
223,6,1975,1975,713,811,1552,2,6,2,434,179900
224,4,1971,1971,864,864,864,1,4,2,576,97000
225,10,2003,2003,2392,2392,2392,2,8,3,968,386250
226,5,1971,1971,630,630,1302,2,6,1,280,112000
227,7,1995,1995,1203,1214,2520,2,9,3,721,290000
228,6,1970,1970,483,483,987,1,5,1,280,106000
229,5,1967,1967,912,912,912,1,5,1,336,125000
230,7,2005,2006,1373,1555,1555,2,7,2,430,192500
231,6,1959,1959,1194,1194,1194,1,6,1,312,148000
232,8,1995,1996,1462,1490,2794,2,9,3,810,403000
233,6,1972,1972,483,483,987,1,5,1,288,94500
234,5,1976,1976,894,894,894,1,5,1,308,128200
236,6,1971,1971,483,483,987,1,5,1,264,89500
237,7,2004,2004,1414,1414,1414,2,6,2,494,185500
238,7,1993,2003,996,1014,1744,2,7,2,457,194500
239,8,2007,2007,1694,1694,1694,2,7,3,818,318000
240,6,1945,1950,735,798,1487,1,7,1,220,113000
241,8,2008,2008,1566,1566,1566,2,7,2,750,262500
243,5,1900,1950,540,889,1440,1,6,1,352,79000
244,6,1980,1980,626,626,1217,1,6,1,288,120000
245,7,1994,2002,948,1222,2110,2,8,2,463,205000
246,7,1988,1988,1845,1872,1872,2,6,2,604,241500
247,6,1910,1950,1020,908,1928,2,9,1,440,137000
248,6,1954,1954,1367,1375,1375,1,5,2,451,140000
249,7,2003,2003,840,840,1668,2,8,2,500,180000
250,6,1958,2006,1444,1444,2144,2,7,2,389,277000
252,8,2006,2007,1573,1625,1625,2,5,2,538,235000
253,6,2004,2004,798,798,1640,2,6,2,520,173000
254,6,1964,1991,1302,1302,1302,2,7,1,309,158000
255,5,1957,1957,1314,1314,1314,1,5,1,294,145000
256,7,1999,1999,975,1005,2291,2,8,2,429,230000
257,6,2003,2003,864,864,1728,2,7,2,673,207500
258,7,2006,2006,1604,1604,1604,2,8,2,660,220000
259,7,2001,2001,963,963,1792,2,7,2,564,231500
261,6,1962,1962,1362,1382,1382,1,6,2,884,176000
262,8,2007,2007,1482,1482,2574,2,10,3,868,276000
263,6,1977,1995,506,1212,1212,1,6,2,492,151000
264,5,1929,2001,926,926,1316,1,6,2,484,130000
265,5,1925,2004,680,764,764,1,4,2,504,73000
266,6,1981,1981,1422,1422,1422,2,7,2,576,175500
267,6,1997,1997,802,802,1511,2,8,2,413,185000
268,5,1939,1997,720,1052,2192,2,8,1,240,179500
269,5,1940,1955,740,778,778,1,4,1,924,120500
270,6,1976,1976,1143,1113,1113,1,6,1,504,148000
271,8,2006,2006,1095,1095,1939,2,8,3,1053,266000
272,7,1954,2005,1385,1363,1363,1,5,2,439,241500
273,8,1999,2007,1152,1164,2270,2,9,3,671,290000
274,6,1958,1988,1240,1632,1632,2,6,1,338,139000
275,5,1982,1982,816,816,816,1,5,1,264,124500
276,7,1925,2007,952,952,1548,2,5,2,672,205000
277,7,2003,2003,1560,1560,1560,2,7,2,573,201000
278,4,1951,1951,864,864,864,1,4,2,400,141000
279,9,2006,2007,2121,2121,2121,2,8,3,732,415298
280,7,1977,1977,1160,1156,2022,2,8,2,505,192000
281,7,1989,1989,807,1175,1982,2,7,2,575,228500
282,6,2006,2006,1262,1262,1262,2,5,2,572,185000
283,7,2007,2008,1314,1314,1314,2,6,2,626,207500
284,8,2008,2009,1468,1468,1468,2,6,3,898,244600
285,6,1992,1992,1575,1575,1575,2,5,2,529,179200
286,7,2006,2007,625,625,1250,2,5,2,528,164700
287,6,1962,1981,912,1085,1734,1,7,2,440,159000
289,5,1967,1967,882,900,900,1,5,1,280,122000
290,6,1915,2003,698,698,1396,1,7,1,384,153575
291,8,2006,2006,1079,1079,1919,2,8,2,685,233230
293,5,1949,2008,768,1148,1716,1,8,1,281,131000
294,7,1977,1994,795,1468,2263,2,9,2,539,235000
295,6,1953,1953,1416,1644,1644,1,7,2,418,167000
296,6,1984,1984,1003,1003,1003,1,6,2,588,142500
297,5,1950,1950,910,910,1558,1,6,1,282,152000
298,7,1997,1998,975,975,1950,2,7,2,576,239000
299,6,1968,1968,702,1041,1743,1,7,2,539,175000
300,6,1950,2004,1092,1152,1152,1,6,1,300,158500
301,5,1953,1953,1165,1336,1336,1,5,1,375,157000
302,8,1998,1999,1028,1210,2452,2,9,2,683,267000
303,7,2001,2002,1541,1541,1541,2,6,3,843,205000
304,5,1972,1972,894,894,894,1,5,2,552,149900
305,7,1880,2002,1470,1675,3493,3,10,3,870,295000
306,8,2004,2005,2000,2000,2000,2,8,3,888,305900
307,7,1990,1991,700,1122,2243,2,8,3,746,225000
309,4,1940,1950,861,861,861,1,4,2,539,82500
310,9,2003,2004,1896,1944,1944,2,8,3,708,360000
311,6,1993,1994,697,697,1501,2,6,2,420,165600
312,6,1948,2002,972,972,972,1,5,1,240,132000
313,5,1939,1950,793,793,1118,1,5,2,410,119900
314,7,1965,1965,2136,2036,2036,2,8,2,513,375000
315,7,1925,1990,728,832,1641,1,6,2,546,178000
316,7,2004,2005,716,716,1432,2,6,2,432,188500
317,7,1980,1980,845,1153,2353,2,10,2,484,260000
318,8,2006,2006,1088,1088,1959,2,8,3,1025,270000
319,7,1993,1993,1347,1372,2646,2,9,3,656,260000
320,7,1980,1980,1372,1472,1472,2,6,2,588,187500
321,9,2006,2006,1249,1249,2596,3,9,3,840,342643
322,8,2004,2004,1136,1136,2468,2,10,3,872,354000
323,7,1986,1987,1502,1553,2730,2,8,2,576,301000
324,3,1955,2005,1162,1163,1163,1,6,1,220,126175
325,7,1967,2007,710,1898,2978,2,11,2,564,242000
326,5,1941,1950,720,803,803,1,5,2,360,87000
327,8,1993,1993,1719,1719,1719,1,6,2,473,324000
328,6,1960,1960,1383,1383,1383,1,7,1,292,145250
329,6,1916,1994,844,1445,2134,2,10,2,441,214500
330,5,1920,1950,596,596,1192,1,6,1,189,78000
331,5,1964,1964,1728,1728,1728,2,10,1,352,119000
332,5,1958,1992,1056,1056,1056,1,6,1,308,139000
334,7,2004,2004,1358,1358,1358,2,6,2,484,207000
335,6,1998,1998,943,943,1638,2,7,2,472,192000
336,5,1965,1965,1499,1619,1786,2,7,2,529,228950
337,9,2005,2006,1922,1922,1922,2,8,3,676,377426
338,7,2002,2003,1536,1536,1536,2,7,2,532,214000
339,7,1984,1998,1208,1621,1621,2,8,2,440,202500
340,6,1958,1998,1215,1215,1215,1,6,1,297,155000
341,8,2002,2002,967,993,1908,2,9,2,431,202900
342,4,1950,1950,721,841,841,1,4,1,294,82000
344,9,2005,2005,1684,1684,1684,2,6,2,564,266000
345,5,1976,1976,536,536,1112,1,4,1,336,85000
346,6,1939,1950,972,972,1577,1,6,1,312,140200
347,6,1960,1998,958,958,958,1,5,1,301,151500
348,6,1960,1960,1478,1478,1478,2,6,2,498,157500
349,7,2003,2004,764,764,1626,2,6,2,474,154000
350,9,2005,2006,1848,1848,2728,2,10,3,706,437154
351,9,2007,2007,1869,1869,1869,2,6,2,617,318061
352,7,1986,1986,1453,1453,1453,1,6,2,445,190000
353,5,1941,1950,616,616,1111,1,5,1,200,95000
354,6,1928,2003,624,720,720,1,5,2,484,105900
355,6,1940,2000,940,1192,1595,1,6,1,240,140000
356,6,1995,1995,1200,1200,1200,2,6,2,521,177500
357,6,1992,1992,1158,1167,1167,2,6,2,400,173000
358,5,1976,1976,1142,1142,1142,1,6,2,528,134000
359,5,1958,1958,1062,1352,1352,1,6,1,288,130000
360,8,1998,1998,1086,1086,1924,2,7,2,592,280000
361,6,1978,1978,888,912,912,1,5,2,470,156000
362,5,1940,1982,883,988,1505,1,8,1,240,145000
364,6,1972,2007,483,483,987,1,5,1,264,118000
365,6,1976,1976,796,790,1574,2,6,2,566,190000
366,5,1920,1997,672,672,1344,1,6,1,468,147000
367,6,1963,1963,1394,1394,1394,1,6,2,514,159000
368,6,1962,1962,1099,1431,1431,1,6,1,296,165000
369,5,1954,1954,1268,1268,1268,1,7,1,244,132000
370,5,1959,2006,1063,1287,1287,1,7,2,576,162000
371,6,2000,2000,953,953,1664,2,7,2,460,172400
373,6,1984,1984,744,752,752,1,4,1,264,125000
374,5,1953,1953,608,1319,1319,1,5,1,270,123000
375,7,2003,2004,847,847,1928,2,8,2,434,219500
377,5,1996,1996,870,914,914,1,5,2,576,148000
378,8,2004,2005,1580,1580,2466,3,8,2,610,340000
379,9,2010,2010,1856,1856,1856,1,8,3,834,394432
380,6,2000,2000,982,1007,1800,2,7,2,463,179000
381,5,1924,1950,1026,1026,1691,2,6,1,308,127000
382,7,2006,2006,1293,1301,1301,2,5,2,572,187750
383,7,2006,2006,939,939,1797,2,8,2,639,213500
384,6,1928,1950,784,784,784,1,5,2,360,76000
385,6,1992,1992,1580,1079,1953,2,9,2,501,240000
386,8,2004,2005,1256,1269,1269,2,6,2,430,192000
388,6,1976,1976,1041,1125,1125,1,6,1,352,125000
389,7,1999,2000,1468,1479,1479,2,6,2,577,191000
390,10,2007,2008,1682,1742,2332,2,9,3,846,426000
391,5,1900,1950,861,961,1367,1,7,1,384,119000
392,6,2001,2002,804,804,1961,2,7,2,560,215000
395,5,1940,1950,735,735,1034,1,5,1,240,109000
396,5,1956,1956,1144,1144,1144,1,6,1,596,129000
397,5,1972,1972,894,894,894,1,6,2,600,123000
398,5,1962,1962,864,876,1812,2,8,1,264,169500
399,5,1920,1950,961,1077,1077,1,6,1,338,67000
400,7,2006,2007,1092,1112,1550,2,7,2,438,241000
401,8,1996,1996,1260,1288,1288,1,4,2,500,245500
402,7,2005,2005,1310,1310,1310,2,6,2,400,164990
403,5,1940,1997,672,672,672,1,4,1,240,108000
404,8,1998,1998,1141,1165,2263,2,10,2,420,258000
405,6,1995,1996,806,806,1572,2,7,2,373,168000
406,4,1976,1993,1281,1620,1620,2,8,2,490,150000
407,6,1936,1950,1064,1166,1639,1,6,1,240,115000
408,6,1915,1976,840,840,1680,2,8,1,308,177000
409,7,2006,2006,1063,1071,2172,2,9,3,947,280000
410,8,2007,2008,1034,1050,2078,2,8,3,836,339750
411,5,1958,1958,1276,1276,1276,1,5,1,350,60000
412,5,1955,1955,1056,1056,1056,1,5,2,572,145000
413,7,2009,2009,1470,1478,1478,2,7,2,484,222000
414,5,1927,1950,1008,1028,1028,1,5,2,360,115000
415,7,1993,1993,1080,1080,2097,2,9,3,678,228000
416,7,2007,2007,1340,1340,1340,2,6,2,396,181134
417,6,1978,1978,672,672,1400,1,6,2,440,149500
418,6,1918,1950,1370,1370,2624,2,10,3,864,239000
419,5,1940,1950,756,756,1134,1,7,1,240,126000
420,5,1968,1968,1056,1056,1056,1,6,1,304,142000
421,7,1997,1998,1344,1344,1344,2,8,4,784,206300
422,6,1977,2000,1602,1602,1602,2,8,2,529,215000
423,5,1954,1954,988,988,988,1,4,2,520,113000
424,8,1998,1998,1470,1470,2630,2,8,3,696,315000
425,6,1956,1956,1196,1196,1196,1,6,1,297,139000
426,7,1946,1992,651,707,1389,1,6,1,240,135000
427,7,1989,1989,1518,1644,1644,2,5,2,569,275000
428,4,1957,1957,907,907,907,1,5,1,352,109008
429,7,2007,2007,1208,1208,1208,2,6,2,628,195400
430,6,1988,1988,1392,1412,1412,2,6,2,576,175000
431,6,1971,1971,483,483,987,1,4,1,264,85400
433,5,1971,1971,765,765,1365,1,6,2,440,122500
434,6,1997,1998,926,926,1604,2,7,2,470,181000
436,7,1996,1996,799,827,1661,2,6,2,550,212000
437,6,1920,1950,648,734,1118,1,6,2,440,116000
438,6,1926,2004,884,904,904,1,4,1,180,119000
439,5,1913,2002,440,694,694,1,4,1,352,90350
440,6,1920,2000,684,684,1196,1,7,2,528,110000
441,10,2008,2008,3094,2402,2402,2,10,3,672,555000
443,5,1930,1992,1078,1128,1573,2,8,2,360,162900
444,7,2006,2007,1258,1258,1258,2,6,3,648,172500
445,7,1994,1995,915,933,1908,2,8,2,493,210000
446,6,1956,1956,1436,1689,1689,1,7,2,480,127500
447,6,1966,2002,1517,1888,1888,2,6,2,578,190000
448,7,1998,1999,930,956,1886,2,10,2,431,199900
449,6,1937,1950,780,780,1376,2,7,1,198,119500
450,3,1948,2002,649,679,1183,1,6,1,308,120000
451,6,1930,2005,813,813,813,1,5,1,270,110000
452,7,1975,1975,1533,1533,1533,2,5,2,576,280000
453,6,1996,1997,872,888,1756,2,7,2,422,204000
454,8,2008,2008,768,786,1590,2,6,2,676,210000
455,5,1976,1976,1728,1728,1728,2,8,2,560,188000
456,7,1973,1973,1242,1242,1242,1,6,2,528,175500
457,5,1916,1950,624,624,1344,1,7,3,513,98000
458,4,1954,1994,1364,1663,1663,1,6,2,529,256000
459,8,1925,1996,588,833,1666,1,7,1,228,161000
460,5,1950,1950,709,979,1203,1,5,1,352,110000
461,8,2009,2009,832,832,1935,2,8,2,552,263435
462,7,1936,2007,560,575,1135,1,6,2,576,155000
463,5,1965,1965,864,864,864,1,5,1,360,62383
464,6,1934,1995,715,849,1660,1,6,1,240,188700
466,7,2004,2004,1375,1414,1414,2,6,2,398,178740
467,7,1970,1970,1277,1277,1277,1,5,2,526,167000
468,5,1942,1995,728,888,1644,1,7,1,312,146500
469,8,2006,2006,1626,1634,1634,2,7,3,866,250000
470,6,1993,1993,832,832,1710,2,7,2,506,187000
471,8,1985,1985,1488,1502,1502,1,4,2,528,212000
472,7,1977,1977,808,1161,1969,2,8,2,534,190000
473,6,2005,2005,547,1072,1072,1,5,2,525,148000
474,8,2006,2007,1976,1976,1976,2,7,3,908,440000
475,8,2000,2000,1494,1652,1652,2,6,2,499,251000
476,5,1963,1963,970,970,970,1,5,2,624,132500
477,6,1997,1998,1478,1493,1493,2,7,2,508,208900
478,9,2006,2006,2153,2069,2643,2,9,3,694,380000
479,8,2007,2008,1705,1718,1718,2,7,3,826,297000
480,4,1937,2000,907,1131,1131,1,7,2,672,89471
481,9,2004,2005,1833,1850,1850,2,8,3,772,326000
482,9,2003,2004,1792,1792,1792,2,6,3,874,374000
483,7,1915,2005,910,916,1826,1,7,1,164,155000
484,6,1998,1998,1216,1216,1216,2,5,2,402,164000
485,5,1962,2001,999,999,999,1,6,1,264,132500
486,5,1950,2007,1113,1113,1113,1,5,1,264,147000
487,5,1965,1965,1073,1073,1073,1,6,2,515,156000
488,5,1971,1971,1484,1484,1484,2,7,2,487,175000
489,5,1900,1970,954,1766,2414,2,10,2,520,160000
490,4,1970,2002,630,630,630,1,3,1,286,86000
491,5,1976,1976,264,616,1304,1,4,1,336,115000
492,6,1941,1950,806,958,1578,1,5,1,240,133000
493,6,2006,2006,728,728,1456,2,8,2,429,172785
494,5,1960,1960,1269,1269,1269,1,6,1,308,155000
495,5,1938,1996,190,886,886,1,4,1,273,91300
497,8,1992,1993,3200,3228,3228,3,10,2,546,430000
498,7,1925,1950,1026,1133,1820,2,8,1,240,184000
499,5,1967,2004,864,899,899,1,5,1,288,130000
500,5,1958,1985,912,912,912,1,5,1,297,120000
501,6,1973,1973,672,672,1218,1,7,1,264,113000
502,7,2005,2005,866,866,1768,2,7,2,603,226700
503,5,1965,1965,1214,1214,1214,1,6,2,461,140000
504,7,1959,1997,1501,1801,1801,2,6,2,484,289000
505,6,1974,1974,855,855,1322,2,6,2,440,147000
506,5,1952,1952,960,960,1960,2,10,2,400,124500
507,8,1993,1994,777,1065,1911,2,8,2,471,215000
508,6,2009,2009,1218,1218,1218,2,4,2,676,208300
509,7,1928,2005,689,689,1378,2,7,2,360,161000
510,5,1959,1959,1041,1041,1041,1,6,1,270,124500
511,5,1951,2000,1008,1363,1363,1,6,1,288,164900
512,7,2005,2006,1368,1368,1368,2,6,2,474,202665
513,5,1958,1958,864,864,864,1,5,2,624,129900
514,6,1983,1983,1084,1080,1080,1,5,2,484,134000
515,5,1926,1950,768,789,789,1,5,1,200,96500
516,10,2009,2009,2006,2020,2020,2,9,3,900,402861
517,6,1972,1972,689,1378,2119,2,7,2,583,158000
